#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|              random_mt19937.bin|  8.33e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.79399992|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.88454373|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.94770859|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.05130155|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.36065466|  PASSED  
        diehard_opso|   0|   2097152|     100|0.84033476|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.10589099|  PASSED  
         diehard_dna|   0|   2097152|     100|0.15252388|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.27362296|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.61955423|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.38232396|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.71028068|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.28268085|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.68048058|  PASSED  
        diehard_sums|   0|       100|     100|0.19557573|  PASSED  
        diehard_runs|   0|    100000|     100|0.06711044|  PASSED  
        diehard_runs|   0|    100000|     100|0.49189518|  PASSED  
       diehard_craps|   0|    200000|     100|0.68988225|  PASSED  
       diehard_craps|   0|    200000|     100|0.49154725|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.94915103|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.09176357|  PASSED  
         sts_monobit|   1|    100000|     100|0.95111238|  PASSED  
            sts_runs|   2|    100000|     100|0.21032156|  PASSED  
          sts_serial|   1|    100000|     100|0.33685306|  PASSED  
          sts_serial|   2|    100000|     100|0.27761385|  PASSED  
          sts_serial|   3|    100000|     100|0.14439074|  PASSED  
          sts_serial|   3|    100000|     100|0.91459837|  PASSED  
          sts_serial|   4|    100000|     100|0.85447757|  PASSED  
          sts_serial|   4|    100000|     100|0.18471124|  PASSED  
          sts_serial|   5|    100000|     100|0.67289638|  PASSED  
          sts_serial|   5|    100000|     100|0.58249127|  PASSED  
          sts_serial|   6|    100000|     100|0.62323662|  PASSED  
          sts_serial|   6|    100000|     100|0.82119680|  PASSED  
          sts_serial|   7|    100000|     100|0.46670488|  PASSED  
