#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|              random_secrets.bin|  6.82e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.36783720|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.87465917|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.78311033|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.65960682|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.56141563|  PASSED  
        diehard_opso|   0|   2097152|     100|0.90358818|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.63708754|  PASSED  
         diehard_dna|   0|   2097152|     100|0.45038090|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.80107938|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.46220664|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.97946883|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.36932649|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.87849049|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.35900561|  PASSED  
        diehard_sums|   0|       100|     100|0.89289505|  PASSED  
        diehard_runs|   0|    100000|     100|0.65554033|  PASSED  
        diehard_runs|   0|    100000|     100|0.27140961|  PASSED  
       diehard_craps|   0|    200000|     100|0.53626466|  PASSED  
       diehard_craps|   0|    200000|     100|0.42677117|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.94642473|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.53210051|  PASSED  
         sts_monobit|   1|    100000|     100|0.87779968|  PASSED  
            sts_runs|   2|    100000|     100|0.71835432|  PASSED  
          sts_serial|   1|    100000|     100|0.29655339|  PASSED  
          sts_serial|   2|    100000|     100|0.43594647|  PASSED  
          sts_serial|   3|    100000|     100|0.81794761|  PASSED  
          sts_serial|   3|    100000|     100|0.84165407|  PASSED  
          sts_serial|   4|    100000|     100|0.99149128|  PASSED  
          sts_serial|   4|    100000|     100|0.73302883|  PASSED  
          sts_serial|   5|    100000|     100|0.49416370|  PASSED  
